TOI,bv,bv_err,li,prot,rhk,teff
101.01,0.656000018119812,0.1,,1.4303207439354162,,5648.642857142857
102.01,0.5076666474342346,0.1,,4.410010712443034,,6257.270416666666
103.01,0.2909999787807464,0.1,,3.554637774318695,,6086.159166666667
104.01,0.5456666350364685,0.1,,4.090359949455261,,6046.51625
105.01,0.687666654586792,0.1,,2.187803198092652,,5741.285333333333
106.01,0.3440000116825104,0.1,,2.849251659037272,,6689.604444444445
107.01,0.6899999976158142,0.1,,3.9667935666666665,,6159.265333333333
108.01,0.8069999814033508,0.1,,3.044049933333333,,5475.767
109.01,0.8650000095367432,0.1,,2.766763075,,5266.25
110.01,0.5899999737739563,0.1,,3.17435128,,5904.98698046875
111.01,0.7549999952316284,0.1,,2.10616056,,5382.445625
112.01,0.7739999890327454,0.1,,2.49979,,5556.625
113.01,0.625,0.1,,3.37265,,6089.45498046875
114.01,0.6794999837875366,0.1,,3.2888,,5804.1214285714295
115.01,0.7379999756813049,0.1,,4.7423729,,5427.5
116.01,0.8554999828338623,0.1,,2.298581,,4959.532222222222
117.01,0.5350000262260437,0.1,,3.5862202,,6008.029909090909
118.01,0.5540000200271606,0.1,,,,5452.833333333333
119.01,0.7929999828338623,0.1,,,,5058.75
119.02,0.7929999828338623,0.1,,,,5058.75
120.01,0.7484443783760071,0.0550436526536941,,,,5459.268
121.01,0.5253333449363708,0.1,,,,6120.228
122.01,1.534999966621399,0.1,,,,3947.8825
123.01,0.5149999856948853,0.1,,3.299999952316284,,6222.049285714286
124.01,0.7229999899864197,0.1,,,,5102.666666666667
125.01,0.8080000281333923,0.1,,9.15059,,5166.945
125.02,0.8080000281333923,0.1,,9.15059,,5166.945
125.03,0.8080000281333923,0.1,,9.15059,,5166.945
126.01,0.6060000061988831,0.1,,3.0353992,,5759.178571428572
127.01,,0.1,,,,3560.1666666666665
128.01,0.6613333225250244,0.0546829228382773,,,,5806.075
129.01,1.1080000400543213,0.1,,,,4604.223333333333
130.01,0.518666684627533,0.0047140407122464,,,,6043.4929526654405
132.01,0.8410000205039978,0.1,,,,5476.419090909091
133.01,1.190000057220459,0.1,,,,4328.86
134.01,1.4559999704360962,0.1,,,,3776.4475
135.01,0.4490000009536743,0.1,,4.099999904632568,,6726.576363636364
136.01,1.7020000219345093,0.1,,,,3770.0725
137.01,1.0729999542236328,0.1,,,,4468.543333333333
138.01,0.7089999914169312,0.1,,,,5627.001428571429
139.01,1.1955000162124634,0.0318865329027175,,,,4448.445012207031
140.01,0.5559999942779541,0.1,,,,6162.591818181819
141.01,0.6031428713798522,0.0279306672515143,,,,5812.231559416118
142.01,,0.1,,,,3760.6
143.01,0.4673999845981598,0.0463102422654628,,2.305482476158142,,6431.798
144.01,,0.1,,,,5894.5
145.01,0.7139999866485596,0.1,,,,5433.223333333333
148.01,0.5600000023841858,0.1,,,,5833.443333333334
149.01,0.7325000166893005,0.1,,,,5479.844
150.01,0.6650000214576721,0.1,,,,5884.211842015487
153.01,0.4740000069141388,0.1,,7.632922,,6289.305457354012
155.01,0.4656666815280914,0.1,,,,6228.495555555555
157.01,0.7950000166893005,0.1,,2.084444,,5472.2733333333335
159.01,0.4704999923706054,0.1,,,,6764.449090909091
161.01,0.6589999794960022,0.1,,2.7687102,,5526.405714285714
162.01,0.7319999933242798,0.1,,,,5431.89
163.01,0.4880000054836273,0.1,,,,6249.288
166.01,0.7760000228881836,0.1,,,,5365.53
167.01,0.6110000014305115,0.1,,,,5766.0
168.01,1.0750000476837158,0.1,,,,4746.83
169.01,0.6880000233650208,0.1,,,,5759.03001953125
170.01,0.7379999756813049,0.1,,,,5779.8900390625
171.01,,0.1,,,,5096.6957142857145
172.01,0.7009999752044678,0.1,,,,5735.468571428572
173.01,0.398499995470047,0.0085000097751617,,,,6547.236666666667
174.01,1.0348750040531158,0.0331377105339743,,,,4764.344490234375
174.02,1.0348750040531158,0.0331377105339743,,,,4764.344490234375
174.03,1.0348750040531158,0.0331377105339743,,,,4764.344490234375
174.04,1.0348750040531158,0.0331377105339743,,,,4764.344490234375
174.05,1.0348750040531158,0.0331377105339743,,,,4764.344490234375
175.01,1.6039999723434448,0.1,,,,3886.25
175.02,1.6039999723434448,0.1,,,,3886.25
175.03,1.6039999723434448,0.1,,,,3886.25
177.01,1.496500015258789,0.0576259419322013,,,-4.428999900817871,3800.196428571429
178.01,1.1460000276565552,0.1,,,,4309.9
178.02,1.1460000276565552,0.1,,,,4309.9
178.03,1.1460000276565552,0.1,,,,4309.9
178.04,1.1460000276565552,0.1,,,,4309.9
179.01,0.8844999910593032,0.0136290140932196,,,-4.394000053405762,5098.083557477678
180.01,0.5034999847412109,0.0546145588159561,,,,6150.361428571428
