ID,GaiaDR2,CLHW,RA_ICRS,DE_ICRS,__B-V_0,Vmag,__V-Ks_0,Prot,e_Prot,P90,Class,Binary,_RA.icrs,_DE.icrs,Teff
618539,5339401641913283072,13824,167.35092,-58.72761,0.821,14.324,1.876,6.3962,0.9555,0.0284,3,0,167.35092,-58.72761,5074.3
618394,5339394323288436608,16353,167.33904,-58.81681,1.379,16.855,3.374,10.0044,0.2949,0.019,3,0,167.33904,-58.81681,4182.9
618247,5339401126517113472,17842,167.32929,-58.76006,1.284,16.197,3.098,12.9536,0.1203,0.0158,3,0,167.32929,-58.76006,4428.1
615275,5340152230387020288,36499,167.22421,-58.68867,1.274,16.283,3.045,10.7061,2.7941,0.02,3,0,167.22421,-58.68867,4462.1
614931,5340152848862460928,37931,167.21496,-58.62111,0.65,13.378,1.456,5.8337,0.4992,0.034,3,0,167.21496,-58.62111,5688.3
608606,5340153226819389952,66890,167.06008,-58.65322,0.676,13.384,1.757,5.4437,0.3331,0.025,3,1,167.06008,-58.65322,5302.3
320122,5338641845015187328,74612,167.02358,-58.92692,1.323,16.367,3.195,12.9745,0.9837,0.0487,3,0,167.02358,-58.92692,4434.7
415233,5340157075110216192,81066,166.98542,-58.56692,1.425,16.956,3.484,12.6919,1.4906,0.03,3,0,166.98542,-58.56692,4316.3
318475,5340145427158100864,84732,166.96892,-58.7445,1.008,15.224,2.346,5.4398,0.8032,0.091,3,0,166.96892,-58.7445,4772.0
414429,5340150443680126848,87263,166.95421,-58.65578,1.464,17.841,3.889,17.052,1.6373,0.0323,3,0,166.95421,-58.65578,3844.6
414007,5340150649838613760,90088,166.93908,-58.62508,1.268,16.133,2.963,11.1415,0.6635,0.0273,3,0,166.93908,-58.62508,4497.9
317342,5338643253764519168,91871,166.93408,-58.87517,1.397,17.133,3.619,13.5411,3.7858,0.07,3,0,166.93408,-58.87517,4111.3
413467,5340157521786915968,93581,166.91987,-58.50122,0.921,14.959,2.185,8.3381,0.7079,0.022,3,0,166.91987,-58.50122,5013.7
410530,5340151577551470720,113851,166.82012,-58.61783,1.429,17.157,3.546,12.8682,1.1375,0.0336,3,0,166.82012,-58.61783,4182.5
409652,5340170337970754944,120084,166.78675,-58.46447,0.934,14.939,2.277,9.2326,1.0439,0.017,3,0,166.78675,-58.46447,4888.4
