,TOI,bv,bv_err,li,prot,rhk,teff
0,101.01,0.656000018119812,0.1,,1.4303207439354162,,5648.642857142857
1,102.01,0.5076666474342346,0.1,,4.410010712443034,,6257.270416666666
2,103.01,0.29099997878074646,0.1,,3.554637774318695,,6086.159166666667
3,104.01,0.5456666350364685,0.1,,4.090359949455261,,6046.51625
4,105.01,0.687666654586792,0.1,,2.1878031980926513,,5741.285333333333
5,106.01,0.3440000116825104,0.1,,2.849251659037272,,6689.604444444445
6,107.01,0.6899999976158142,0.1,,3.9667935666666665,,6159.265333333333
7,108.01,0.8069999814033508,0.1,,3.0440499333333335,,5475.767
8,109.01,0.8650000095367432,0.1,,2.766763075,,5266.25
9,110.01,0.5899999737739563,0.1,,3.17435128,,5904.98698046875
10,111.01,0.7549999952316284,0.1,,2.10616056,,5382.445625
11,112.01,0.7739999890327454,0.1,,2.49979,,5556.625
12,113.01,0.625,0.1,,3.37265,,6089.45498046875
13,114.01,0.6794999837875366,0.1,,3.2888,,5804.1214285714295
14,115.01,0.7379999756813049,0.1,,4.7423729,,5427.5
15,116.01,0.8554999828338623,0.1,,2.298581,,4959.532222222222
16,117.01,0.5350000262260437,0.1,,3.5862202,,6008.029909090909
17,118.01,0.5540000200271606,0.1,,,,5452.833333333333
18,119.01,0.7929999828338623,0.1,,,,5058.75
19,119.02,0.7929999828338623,0.1,,,,5058.75
20,120.01,0.7484443783760071,0.05504365265369415,,,,5459.268
21,121.01,0.5253333449363708,0.1,,,,6120.228
22,122.01,1.534999966621399,0.1,,,,3947.8825
23,123.01,0.5149999856948853,0.1,,3.299999952316284,,6222.049285714286
24,124.01,0.7229999899864197,0.1,,,,5102.666666666667
25,125.01,0.8080000281333923,0.1,,9.15059,,5166.945
26,125.02,0.8080000281333923,0.1,,9.15059,,5166.945
27,125.03,0.8080000281333923,0.1,,9.15059,,5166.945
28,126.01,0.6060000061988831,0.1,,3.0353992,,5759.178571428572
29,127.01,,0.1,,,,3560.1666666666665
30,128.01,0.6613333225250244,0.05468292283827733,,,,5806.075
31,129.01,1.1080000400543213,0.1,,,,4604.223333333333
32,130.01,0.518666684627533,0.004714040712246475,,,,6043.4929526654405
33,132.01,0.8410000205039978,0.1,,,,5476.419090909091
34,133.01,1.190000057220459,0.1,,,,4328.86
35,134.01,1.4559999704360962,0.1,,,,3776.4475
36,135.01,0.4490000009536743,0.1,,4.099999904632568,,6726.576363636364
37,136.01,1.7020000219345093,0.1,,,,3770.0725
38,137.01,1.0729999542236328,0.1,,,,4468.543333333333
39,138.01,0.7089999914169312,0.1,,,,5627.001428571429
40,139.01,1.1955000162124634,0.03188653290271759,,,,4448.445012207031
41,140.01,0.5559999942779541,0.1,,,,6162.591818181819
42,141.01,0.6031428713798522,0.0279306672515143,,,,5812.231559416118
43,142.01,,0.1,,,,3760.6
44,143.01,0.4673999845981598,0.046310242265462875,,2.305482476158142,,6431.798
45,144.01,,0.1,,,,5894.5
46,145.01,0.7139999866485596,0.1,,,,5433.223333333333
47,148.01,0.5600000023841858,0.1,,,,5833.443333333334
48,149.01,0.7325000166893005,0.1,,,,5479.844
49,150.01,0.6650000214576721,0.1,,,,5884.211842015487
50,153.01,0.4740000069141388,0.1,,7.632922,,6289.305457354012
51,155.01,0.46566668152809143,0.1,,,,6228.495555555555
52,157.01,0.7950000166893005,0.1,,2.084444,,5472.2733333333335
53,159.01,0.47049999237060547,0.1,,,,6764.449090909091
54,161.01,0.6589999794960022,0.1,,2.7687102,,5526.405714285714
55,162.01,0.7319999933242798,0.1,,,,5431.89
56,163.01,0.4880000054836273,0.1,,,,6249.288
57,166.01,0.7760000228881836,0.1,,,,5365.53
58,167.01,0.6110000014305115,0.1,,,,5766.0
59,168.01,1.0750000476837158,0.1,,,,4746.83
60,169.01,0.6880000233650208,0.1,,,,5759.03001953125
61,170.01,0.7379999756813049,0.1,,,,5779.8900390625
62,171.01,,0.1,,,,5096.6957142857145
63,172.01,0.7009999752044678,0.1,,,,5735.4685714285715
64,173.01,0.398499995470047,0.008500009775161743,,,,6547.236666666667
65,174.01,1.0348750040531158,0.03313771053397438,,,,4764.3444902343745
66,174.02,1.0348750040531158,0.03313771053397438,,,,4764.3444902343745
67,174.03,1.0348750040531158,0.03313771053397438,,,,4764.3444902343745
68,174.04,1.0348750040531158,0.03313771053397438,,,,4764.3444902343745
69,174.05,1.0348750040531158,0.03313771053397438,,,,4764.3444902343745
70,175.01,1.6039999723434448,0.1,,,,3886.25
71,175.02,1.6039999723434448,0.1,,,,3886.25
72,175.03,1.6039999723434448,0.1,,,,3886.25
73,177.01,1.496500015258789,0.057625941932201385,,,-4.428999900817871,3800.1964285714284
74,178.01,1.1460000276565552,0.1,,,,4309.9
75,178.02,1.1460000276565552,0.1,,,,4309.9
76,178.03,1.1460000276565552,0.1,,,,4309.9
77,178.04,1.1460000276565552,0.1,,,,4309.9
78,179.01,0.8844999910593032,0.013629014093219672,,,-4.394000053405762,5098.083557477678
79,180.01,0.5034999847412109,0.054614558815956116,,,,6150.361428571428
80,181.01,1.0290000438690186,0.1,,,,4923.563749999999
81,182.01,0.750499963760376,0.1,,,,5551.761111111112
82,185.01,0.4768000036478043,0.02395329441356665,,0.936589282584042,,6408.97696969697
83,186.01,,0.1,,,,4596.235675
84,186.02,,0.1,,,,4596.235675
85,187.01,0.4009999930858612,0.1,,,,6701.0470000000005
86,188.01,0.41100001335144043,0.1,,,,6266.476345880682
87,189.01,0.6355000138282776,0.1,,,,6032.197777777777
