LAMOST,ObsID,Gaia,RAJ2000_x,DEJ2000_x,S_N,RVel,Teff_x,logg_x,__Fe_H_,A_Li_,DelA_Li_,e_DelA_Li_,Flag,Lim,DR7,Simbad,angDist,TIC ID,TOI,Previous CTOI,Master,SG1A,SG1B,SG2,SG3,SG4,SG5,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,Planet Name,Pipeline Signal ID,Source_1,Detection,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM Dec err (mas/yr),Epoch (BJD),Epoch (BJD) err,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity,Stellar Metallicity err,Stellar Mass (M_Sun),Stellar Mass (M_Sun) err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments,ra_deg,dec_deg,DR3Name,RAdeg,DEdeg,errHalfMaj,errHalfMin,errPosAng,SolID,Source_2,RandomI,e_RAdeg,e_DEdeg,Plx,e_Plx,RPlx,PM,pmRA,e_pmRA,pmDE,e_pmDE,RADEcor,RAPlxcor,RApmRAcor,RApmDEcor,DEPlxcor,DEpmRAcor,DEpmDEcor,PlxpmRAcor,PlxpmDEcor,pmRApmDEcor,NAL,NAC,NgAL,NbAL,gofAL,chi2AL,epsi,sepsi,Solved,APF,nueff,pscol,e_pscol,RApscolCorr,DEpscolCorr,PlxpscolCorr,pmRApscolCorr,pmDEpscolCorr,MatchObsA,Nper,amax,MatchObs,IPDgofha,IPDgofhp,IPDfmp,IPDfow,RUWE,Dup,o_Gmag,FG,e_FG,RFG,Gmag,e_Gmag,o_BPmag,FBP,e_FBP,RFBP,BPmag,e_BPmag,o_RPmag,FRP,e_FRP,RFRP,RPmag,e_RPmag,E(BP/RP),NBPcont,NBPblend,NRPcont,NRPblend,Mode,BP-RP,BP-G,G-RP,RV,e_RV,n_RV,o_RV,o_RVd,RVNper,RVS/N,RVgof,RVchi2,RVTdur,RVamp,RVtempTeff,RVtemplogg,RVtemp[Fe/H],Vatmparam,vbroad,e_Vbroad,o_Vbroad,GRVSmag,e_GRVSmag,o_GRVSmag,RVSS/N,VarFlag,PQSO,PGal,PSS,Teff_y,b_Teff,B_Teff,logg_y,b_logg,B_logg,[Fe/H],b_[Fe/H],B_[Fe/H],Dist,b_Dist,B_Dist,A0,b_A0,B_A0,AG,b_AG,B_AG,E(BP-RP),b_E(BP-RP),B_E(BP-RP),Lib,RAJ2000_y,DEJ2000_y,e_RAJ2000,e_DEJ2000,RADEcorJ2000,GaiaDR3
J022736.16+595709.8,684312010,465296935580218368,02 27 36.16,+59 57 09.8,48,-13,6001,4.41,0.06,2.8,0.1,0.1,4,0,40,Simbad,0.043434,13533330,3686.01,,1,4,1,3,3,4,4,68.5,77.2,317.0,8,12,1,PC,PC,11.2381,0.006,,1,spoc-s58-b0A,QLP,02:27:36.14,59:57:09.8,-13.858,0.063,-3.451,0.073,2459884.347294,0.0005558251,5.07780641764799,0.00017270983,3.64139631951908,0.044498328,15.824627,0.184196,14469.3182016856,169.63617,14.934318366264,0.9164556,340.217758398998,1095.36533894573,83.14044,255.803,2.09,5262.0,159.8,4.2,0.09,1.24346995353699,0.0743216,,,0.901,0.116466,"18,58",2021-06-23,2023-02-27,2024-03-18 00:00:00,found in faint-star QLP search,36.90058333333333,59.95272222222223,Gaia DR3 465296935580218368,36.90055948924,59.95272048411,0.0,0.0,0,1636148068921376768,465296935580218368,111372203,0.0086,0.0097,3.8777,0.013,299.3064,14.426,-14.012,0.012,-3.428,0.013,0.0015,0.0891,-0.0528,-0.2112,-0.0891,-0.2137,-0.0316,0.0339,-0.0805,-0.0022,377,377,376,1,-0.6232,824.59,0.077,9.7085,31,1,1.512,,,,,,,,43,22,0.017674,48,0.02829,19.87,0,0,0.976,0,393,370332.97569,151.137,2450.32,11.765886,0.002791,47,181765.0,208.467,871.911,12.189765,0.003055,46,270337.0,241.652,1118.71,11.168132,0.003902,1.221,0.0,20.0,0.0,0.0,0,1.021633,0.423879,0.597754,-12.25,1.56,1.0,23.0,5.0,18.0,48.017,8.5906,0.00531,933.698,10.44,5500.0,4.0,0.5,444.0,16.2933,13.3514,13.0,10.920642,0.040539,14.0,,NOT_AVAILABLE,0.0,0.0,0.999925,5771.3,5756.3,5785.6,4.3005,4.2978,4.3034,-0.4119,-0.4274,-0.3979,254.5474,253.7533,255.3826,0.5572,0.5481,0.5657,0.461,0.4532,0.4681,0.2495,0.2453,0.2533,MARCS,36.90068386617,59.95273571857,0.186608,0.203429,0.0177,465296935580218368
J151921.12+291223.0,666113089,1272123859439770368,15 19 21.13,+29 12 23.1,45,-30,4306,4.63,-0.38,-1.4,2.1,0.9,0,1,8,Simbad,0.229763,357501308,2018.01,,1,5,5,1,4,4,4,8.3,125.6,6.64,8,8,10,PC,CP,8.962,0.006,,1,qlp-s51-ffi,SPOC,15:19:20.99,29:12:28.36,-141.096,0.031,395.502,0.036,2459716.685958,0.0021296,7.4355668,3.48e-05,2.429,0.975,1.271055,0.015689,1170.0,14.4504,2.4515,0.398524,75.6724,821.0,21.0,27.9956,0.02135,4218.9,162.8,4.67,0.13,0.62,0.08,-0.812,0.163,0.66,0.0867542,"24,51",2020-06-19,2022-06-24,2023-06-16 12:02:45,potential L1 candidate,229.8374583333333,29.207877777777774,Gaia DR3 1272123859439770368,229.83741983654,29.20793203887,0.0,0.0,25,1636148068921376768,1272123859439770368,1336140806,0.0072,0.0098,35.6664,0.0146,2443.1272,419.885,-141.017,0.01,395.497,0.012,0.3762,-0.0147,-0.1153,-0.0655,-0.0177,-0.0468,0.1183,-0.0148,-0.0465,0.4862,816,816,802,14,9.0011,2169.0,0.106,22.707,31,1,1.411,,,,,,,,93,29,0.018457,107,0.007307,115.7,0,0,1.233,0,882,2428665.47442,424.183,5725.51,9.723948,0.002762,97,905217.0,502.875,1800.08,10.44666,0.002855,98,2183560.0,756.724,2885.55,8.899981,0.003798,1.272,0.0,0.0,0.0,0.0,0,1.546679,0.722713,0.823966,-25.57,0.14,1.0,44.0,13.0,23.0,245.57,-0.78164,0.318544,921.249,1.78,4500.0,4.0,-0.75,222.0,10.7427,1.802,22.0,8.562826,0.005739,22.0,274.9606,NOT_AVAILABLE,0.0,0.0,0.999146,,,,,,,,,,,,,,,,,,,,,,,229.83813784878,29.20617429956,0.15916,0.186973,0.4918,1272123859439770368
J082557.18+113040.1,597114229,601199802584914816,08 25 57.19,+11 30 40.1,39,70,6092,4.23,-0.11,2.8,0.1,0.0,2,0,8,Simbad,0.009181,366410512,5101.01,,5,5,5,5,5,5,5,3.3,22.4,25.49,0,3,3,KP,KP,11.6718,0.008,,1,qlp-s71-ffi,SPOC,08:25:57.17,11:30:39.94,-15.968,0.073,-9.524,0.048,2460247.820034,0.0031022,10.1367283,1.16e-05,5.341,0.689,1.150404,0.044427,1059.0,40.9179,5.44119,0.285221,992.258,1563.0,24.0,518.625,11.2775,6283.0,128.818,4.17177,0.086253,1.51,0.07,,,1.23,0.184813,"7,34,44,45,46,71",2022-01-06,2024-01-17,2024-01-27 12:11:53,K2-98 b,126.48820833333332,11.511094444444444,Gaia DR3 601199802584914816,126.48820918815,11.51109203563,0.0,0.0,107,1636148068921376768,601199802584914816,1340740198,0.0112,0.0083,1.9121,0.0131,145.8451,18.7,-16.165,0.014,-9.401,0.01,-0.1978,-0.0745,-0.2481,0.2153,0.0815,0.2195,-0.2174,0.4172,-0.229,-0.2091,287,287,287,0,-2.7862,446.58,0.049,3.4831,31,1,1.586,,,,,,,,33,18,0.020861,37,0.02247,139.0,0,0,0.884,0,321,290183.34543,63.3815,4578.36,12.030685,0.002766,36,164571.0,80.7658,2037.63,12.297658,0.002841,34,180526.0,60.112,3003.16,11.606546,0.003797,1.189,0.0,0.0,0.0,0.0,0,0.691112,0.266973,0.424139,78.32,0.81,1.0,17.0,2.0,13.0,29.704,-0.37756,0.555614,903.929,10.24,6000.0,4.5,-0.25,111.0,,,,11.449722,0.015072,14.0,30.43918,NOT_AVAILABLE,0.0,0.0,0.999488,6072.5,6064.9,6083.0,4.1494,4.1455,4.1532,-0.2987,-0.3062,-0.2896,511.5685,508.3417,514.8952,0.0066,0.0019,0.0126,0.0056,0.0016,0.0107,0.003,0.0009,0.0058,MARCS,126.48828250839,11.51113381739,0.229579,0.160481,-0.2259,601199802584914816
J093837.98+334127.8,773208199,794281328687445120,09 38 37.99,+33 41 27.9,36,-8,6032,4.24,-0.46,2.5,0.1,0.0,1,0,0,Simbad,0.040559,101592219,5602.01,,3,4,3,3,4,4,4,17.5,54.1,122.18,1,0,2,PC,PC,13.4409,0.007,,1,qlp-s48-faintsearch,FAINT,09:38:37.99,33:41:27.9,-6.763,0.052,-0.835,0.04,2459628.710083,0.0022598,5.4853379,2.67e-05,1.964,0.255,13.151596,0.01983,12040.0,18.2641,13.6635,,114.21,910.0,16.0,874.724,31.6975,6054.4,35.9,4.33,,1.21,,-0.441,0.034,1.13,,"21,48",2022-05-17,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,144.65829166666663,33.69108333333333,Gaia DR3 794281328687445120,144.65827813694,33.69108288043,0.0,0.0,115,1636148068921376768,794281328687445120,331732028,0.0151,0.0102,1.1555,0.019,60.9406,6.775,-6.732,0.018,-0.766,0.012,-0.4818,-0.2926,-0.3056,0.3315,0.3305,0.3339,-0.6498,0.5346,-0.2569,-0.3609,554,0,552,2,0.1463,555.72,0.0,0.0,31,1,1.583,,,,,,,,63,19,0.028274,71,0.07389,127.1,0,0,1.004,0,582,56755.80534,11.4489,4957.29,13.802341,0.002764,65,31978.8,19.1641,1668.68,14.076386,0.002865,63,35598.2,21.4397,1660.39,13.369326,0.003836,1.191,7.0,58.0,4.0,59.0,0,0.707061,0.274045,0.433016,-11.72,5.01,2.0,29.0,8.0,16.0,8.605,,,939.672,,6000.0,4.5,-0.5,222.0,,,,13.193471,0.039988,21.0,,NOT_AVAILABLE,0.0,0.0,0.999739,5998.1,5995.3,6001.6,4.2891,4.2777,4.2995,-0.576,-0.5833,-0.5695,765.6135,755.8458,776.796,0.0025,0.0008,0.0048,0.0021,0.0007,0.0041,0.0012,0.0004,0.0022,MARCS,144.65831409641,33.69108628375,0.288761,0.206543,-0.3773,794281328687445120
J171954.97+313053.3,817904018,1333258561368545792,17 19 54.97,+31 30 53.3,40,-31,5664,4.44,0.23,2.2,0.2,0.1,1,0,0,Simbad,0.063333,9701368,5774.01,,3,4,4,3,4,4,4,32.0,42.0,317.0,2,0,4,PC,PC,13.2035,0.007,,1,qlp-s53-faintsearch,FAINT,17:19:54.98,31:30:53.34,-0.829,0.023,8.909,0.029,2459764.180646,0.0011184,5.4049747,1.24e-05,2.932,0.121,25.119132,0.007235,22870.0,6.66407,14.7278,,170.944,1007.0,34.0,554.905,4.673,5662.6,129.1,4.49,,0.95,,0.227,0.12,1.01,,"25,52,53",2022-09-01,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,259.9790833333333,31.51481666666667,Gaia DR3 1333258561368545792,259.97906288297,31.51481902308,0.0,0.0,19,1636148068921376768,1333258561368545792,877847065,0.0089,0.0106,1.7809,0.0121,147.0525,8.978,-0.843,0.012,8.939,0.014,0.1324,-0.0867,0.0867,0.0348,-0.0151,-0.0028,-0.1931,-0.1649,-0.0333,0.2749,396,0,394,2,0.5927,407.6,0.0,0.0,31,0,1.54,,,,,,,,47,27,0.020737,57,0.01424,160.4,0,0,1.02,0,445,64715.19979,10.2896,6289.39,13.659851,0.002761,49,33750.2,31.5408,1070.05,14.017851,0.002969,52,43977.9,21.7557,2021.44,13.139809,0.003817,1.201,0.0,1.0,0.0,0.0,0,0.878042,0.358,0.520042,-28.05,1.98,2.0,31.0,3.0,20.0,11.541,,,953.475,,5750.0,4.5,0.25,222.0,,,,12.971165,0.04788,29.0,,NOT_AVAILABLE,0.0,0.0,0.999712,5574.8,5555.2,5599.2,4.4441,4.4292,4.458,0.0477,0.0272,0.0722,543.5032,539.8269,547.2688,0.062,0.0495,0.0771,0.0514,0.041,0.064,0.0274,0.0218,0.0341,MARCS,259.97906727652,31.51477929602,0.195461,0.224352,0.2718,1333258561368545792
J011341.78+030549.4,705103111,2538824923230146560,01 13 41.78,+03 05 49.5,45,-13,4028,4.5,-0.3,-0.7,1.7,0.8,0,1,8,Simbad,0.147933,388811663,5155.01,,5,5,5,5,5,5,5,2.4,33.3,9.25,0,3,5,KP,KP,11.7603,0.006,,1,qlp-s70-ffi-k2-tessonly,QLP,01:13:41.78,03:05:49.46,162.635,0.086,31.577,0.07,2460230.586626,0.0058262,9.7957298,0.0001071,2.39,0.47,2.355343,0.233513,2167.0,215.05,3.00478,0.359176,13.3238,532.0,10.0,109.218,0.9235,4147.0,124.6,4.55,0.11,0.71,0.07,,,0.649,0.0794256,"42,43,70",2022-02-08,2023-12-06,2023-12-08 12:13:22,K2-212 b; detected with combined K2 + TESS data,18.424083333333336,3.0970722222222222,Gaia DR3 2538824923230146560,18.42412413054,3.09707761141,0.0,0.0,57,1636148068921376768,2538824923230146560,1434142566,0.013,0.0102,9.3064,0.0164,568.4656,165.637,162.638,0.021,31.373,0.015,0.5616,0.0347,0.0316,0.1344,-0.0433,0.1632,-0.0156,-0.257,0.0609,0.5116,382,382,381,1,2.1938,579.03,0.062,4.6285,31,1,1.398,,,,,,,,43,16,0.032155,50,0.02111,91.79,0,0,1.08,0,378,182027.05332,43.8818,4148.12,12.537027,0.002768,49,64948.9,41.5016,1564.97,13.307113,0.002875,46,168016.0,77.5794,2165.72,11.684521,0.003812,1.28,0.0,0.0,0.0,0.0,0,1.622592,0.770085,0.852507,-7.23,0.6,1.0,20.0,4.0,13.0,34.403,0.58509,0.254536,835.979,9.08,4500.0,4.5,1.0,101.0,,,,11.341484,0.011477,16.0,,NOT_AVAILABLE,0.0,0.0,0.999751,4389.4,4368.5,4402.3,4.6432,4.6373,4.648,0.3436,0.2908,0.4117,106.956,106.0243,108.0546,0.4899,0.4689,0.4988,0.3633,0.3475,0.37,0.192,0.1838,0.1956,MARCS,18.42340023762,3.09693817458,0.341398,0.236235,0.4997,2538824923230146560
J065306.25+390756.2,851312136,944335215287065472,06 53 06.26,+39 07 56.2,46,-24,7189,4.13,-0.22,3.0,0.2,0.1,1,1,0,Simbad,0.002733,21291176,3800.01,,3,4,3,3,3,4,4,9.6,49.6,28.12,0,1,1,PC,PC,11.7248,0.007,,1,qlp-s20-faintsearch,FAINT,06:53:06.26,39:07:56.2,1.676,0.081,-1.262,0.074,2458866.227324,0.0051757,1.6667559,0.000626,2.35,0.384,1.87995,0.005108,1730.0,4.70509,5.73913,0.429375,3970.53,2211.0,13.0,598.894,17.984,7189.4,107.2,4.35,0.09,1.4,0.07,-0.214,0.032,1.61,0.265924,20,2021-06-23,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,103.27608333333332,39.13227777777778,Gaia DR3 944335215287065472,103.27608429876,39.13227765282,0.0,0.0,85,1636148068921376768,944335215287065472,1115977845,0.0146,0.013,1.5781,0.0156,100.8953,1.93,1.355,0.018,-1.375,0.014,0.0185,0.1268,-0.1101,0.1733,-0.2191,0.1242,-0.3289,0.1003,0.1807,0.1678,183,183,183,0,-0.8686,367.38,0.081,7.6773,31,1,1.63,,,,,,,,22,17,0.025017,23,0.1088,6.532,0,0,0.952,0,178,303844.38434,81.5714,3724.89,11.980739,0.002771,20,185858.0,142.209,1306.93,12.165591,0.002911,20,171339.0,79.3337,2159.72,11.663257,0.003813,1.176,0.0,0.0,0.0,0.0,0,0.502335,0.184853,0.317482,-12.55,12.37,1.0,12.0,4.0,11.0,22.621,5.1068,0.0,801.889,121.27,8000.0,5.0,0.5,555.0,135.2161,144.3855,7.0,11.49551,0.021885,8.0,,NOT_AVAILABLE,0.0,0.0,0.999698,7332.8,7321.8,7343.1,4.203,4.1962,4.2101,-0.4097,-0.4268,-0.3907,622.8436,617.6421,628.094,0.2646,0.2599,0.2692,0.237,0.2327,0.2412,0.1273,0.125,0.1296,MARCS,103.27607653777,39.13228376562,0.283668,0.236192,0.1479,944335215287065472
J131258.65+395201.1,808605038,1523328181524387584,13 12 58.66,+39 52 01.2,36,-29,5551,4.47,-0.25,1.5,0.4,0.2,0,1,0,Simbad,0.041692,180607846,3906.01,,3,5,5,3,1,4,4,34.3,102.9,37.48,2,0,0,PC,APC,12.773,0.007,,1,qlp-s49-tois,FAINT,13:12:58.66,39:52:01.17,-9.721,0.015,4.909,0.016,2459662.977476,0.0011051,0.6451059,1.3e-06,0.573,0.178,3.730477,0.050276,3430.0,46.3044,6.79091,0.733549,800.418,1481.0,19.0,387.358,2.336,5436.3,106.2,4.52,0.08,0.88,0.04,-0.262615,0.0228271,0.95,0.121894,"22,23,49",2021-06-23,2024-08-22,2024-08-22 00:00:00,V-shaped; found in faint-star QLP search; TFOP BEB/APC,198.24441666666664,39.86699166666666,Gaia DR3 1523328181524387584,198.24440166119,39.86699288126,0.0,0.0,24,1636148068921376768,1523328181524387584,768133986,0.0065,0.0084,2.5437,0.0131,194.1746,10.916,-9.717,0.009,4.975,0.009,0.2826,-0.085,-0.1993,-0.0892,-0.0546,-0.0985,0.4473,-0.0824,-0.2118,0.3603,924,8,921,3,1.905,1021.6,0.0,0.0,31,1,1.527,,,,,,,,109,26,0.014769,118,0.09314,58.64,0,0,1.044,0,947,93299.25854,9.9837,9345.16,13.262671,0.002758,108,47414.1,20.5538,2306.83,13.648773,0.00283,109,65946.8,28.2793,2331.98,12.699911,0.003808,1.215,0.0,7.0,0.0,3.0,0,0.948862,0.386102,0.56276,-28.42,1.59,2.0,49.0,13.0,23.0,17.381,,,988.195,,5250.0,3.5,-0.75,111.0,,,,12.458201,0.023117,36.0,,NOT_AVAILABLE,0.0,0.0,0.999958,5173.2,5171.3,5178.8,4.3822,4.3764,4.3862,-0.966,-0.9731,-0.9562,392.5715,389.9934,397.1297,0.002,0.0004,0.0067,0.0016,0.0003,0.0055,0.0009,0.0002,0.003,MARCS,198.24445792665,39.86697077222,0.139864,0.142389,0.3763,1523328181524387584
J035714.26+222242.1,597715149,65315118156520320,03 57 14.26,+22 22 42.2,44,17,6283,4.08,0.12,2.3,0.0,0.0,1,1,8,Simbad,0.056324,14156936,5340.01,,3,4,4,3,3,4,4,32.0,86.5,121.8,2,12,3,PC,PC,11.7085,0.009,,1,qlp-s44-faintsearch,FAINT,03:57:14.28,22:22:42.01,10.228,0.072,-11.137,0.044,2459519.940368,0.0012768,4.9393117,0.0001821,4.696,0.163,6.992898,0.001012,6420.0,0.931936,13.6199,0.661625,908.364,1529.0,59.0,532.629,11.3105,6287.2,106.7,4.07,0.08,1.69,0.08,0.126,0.016,1.23,0.174195,"42,43,44",2022-02-28,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,59.30949999999999,22.37833611111111,Gaia DR3 65315118156520320,59.30948308369,22.37833578793,0.0,0.0,80,1636148068921376768,65315118156520320,1379136718,0.012,0.0082,1.8873,0.0127,148.1222,15.058,10.124,0.016,-11.147,0.011,0.1351,0.2053,-0.0762,0.1179,-0.1266,0.2006,0.6633,-0.0543,-0.1924,0.2131,365,365,365,0,-1.8736,519.12,0.042,2.9197,31,1,1.528,,,,,,,,41,18,0.022265,45,0.04974,80.19,0,0,0.93,0,384,248696.91796,53.6152,4638.56,12.198191,0.002765,42,126235.0,70.2268,1797.53,12.585594,0.002855,42,175218.0,62.5146,2802.84,11.638947,0.003799,1.212,0.0,0.0,0.0,0.0,0,0.946647,0.387403,0.559243,27.05,0.79,1.0,21.0,4.0,13.0,31.697,-1.2756,0.846519,918.149,11.6,6250.0,4.0,0.25,222.0,,,,11.379898,0.013369,16.0,,NOT_AVAILABLE,0.0,0.0,0.999961,5949.6,5936.1,5978.5,3.9197,3.9142,3.9254,-0.3383,-0.3474,-0.3015,515.2325,512.0565,524.8554,0.5141,0.5057,0.5324,0.4301,0.4231,0.4458,0.2328,0.229,0.2413,MARCS,59.30943442225,22.37838532939,0.252499,0.163125,0.2036,65315118156520320
J101657.85+181249.9,729614174,624086270259243648,10 16 57.85,+18 12 49.9,44,12,5180,4.58,0.32,1.4,0.0,0.0,1,1,8,Simbad,0.041539,95361530,5147.01,,3,4,3,3,4,4,4,16.9,73.1,39.77,4,2,3,PC,PC,12.2325,0.006,,1,qlp-s48-tois,SPOC,10:16:57.85,18:12:49.9,-1.75,0.08,-23.854,0.081,2459631.96789,0.0016927,3.9178573,9.28e-05,0.739,0.144,4.64602,0.022098,4270.0,20.3528,7.07511,0.565614,17.9382,573.0,18.0,272.747,4.316,5174.39,100.009,4.4946,0.0755123,0.88,0.04,0.308,0.034,0.877,0.103405,"45,46,48",2022-01-25,2022-07-08,2022-12-14 12:09:24,V-shaped,154.24104166666666,18.21386111111111,Gaia DR3 624086270259243648,154.24105343727,18.2138582603,0.0,0.0,107,1636148068921376768,624086270259243648,1171633608,0.0165,0.0129,3.7403,0.0192,194.6333,23.775,-1.761,0.018,-23.71,0.014,-0.1709,-0.3756,-0.3855,-0.0071,0.1093,-0.0295,-0.4189,0.4094,-0.2033,-0.2953,275,267,272,3,3.0561,525.68,0.091,7.9323,31,1,1.497,,,,,,,,32,16,0.02777,33,0.01847,21.42,0,0,1.134,0,271,144758.28412,42.6409,3394.82,12.785758,0.002774,32,68764.9,52.2108,1317.06,13.245126,0.002909,30,107447.0,62.7744,1711.64,12.169906,0.003832,1.217,0.0,0.0,0.0,0.0,0,1.07522,0.459368,0.615852,16.67,1.2,1.0,17.0,3.0,13.0,18.894,0.92531,0.127905,938.111,14.94,5250.0,4.5,0.25,222.0,,,,11.990029,0.021404,14.0,,NOT_AVAILABLE,0.0,0.0,0.999832,5081.5,5067.6,5093.6,4.5127,4.51,4.515,0.2542,0.2334,0.2679,266.7652,265.1943,268.1558,0.0803,0.0692,0.0894,0.0642,0.0553,0.0716,0.0337,0.029,0.0376,MARCS,154.24106167797,18.21396363814,0.293274,0.226106,-0.2797,624086270259243648
J093735.02+281443.2,790214163,695958184271386624,09 37 35.02,+28 14 43.3,44,-10,5786,4.42,0.32,2.5,0.2,0.1,3,0,0,Simbad,0.037525,330795142,3835.01,,3,4,4,3,4,4,4,75.1,67.1,317.0,5,0,2,PC,PC,12.5984,0.007,,1,qlp-s48-tois,FAINT,09:37:35.02,28:14:43.3,6.049,0.091,-1.121,0.112,2459633.636146,0.0005154,1.3460633,1.4e-06,1.829,0.078,17.269535,0.002797,15780.0,2.57595,14.2662,0.694023,1231.36,1650.0,57.0,504.711,8.3885,5788.7,114.3,4.38,0.07,1.09,0.05,0.317263,0.0483472,1.04,0.125604,"21,48",2021-06-23,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search,144.39591666666666,28.245361111111112,Gaia DR3 695958184271386624,144.39592842709,28.24535996128,0.0,0.0,134,1636148068921376768,695958184271386624,74022976,0.0173,0.0168,1.963,0.0152,129.3764,5.967,5.89,0.02,-0.956,0.019,-0.7353,-0.2535,-0.6168,0.6636,0.2441,0.5447,-0.9011,0.3814,-0.2176,-0.5547,455,36,453,2,-0.3317,576.78,0.009,0.094957,31,1,1.549,,,,,,,,52,19,0.039161,56,0.0244,131.7,0,0,0.988,0,487,114998.13959,40.372,2848.46,13.03564,0.002782,53,60843.7,67.2847,904.272,13.378004,0.003038,53,77008.1,93.914,819.985,12.531555,0.004005,1.199,0.0,0.0,0.0,0.0,0,0.846449,0.342364,0.504085,-8.76,1.17,2.0,31.0,5.0,17.0,19.245,,,940.767,,5500.0,3.5,0.25,111.0,,,,12.330562,0.017261,26.0,,VARIABLE,0.0,0.0,0.99982,5639.8,5625.8,5660.6,4.3202,4.308,4.3308,0.0513,0.0384,0.073,488.1902,483.8053,497.5956,0.0307,0.0215,0.0443,0.0256,0.0179,0.0369,0.0136,0.0095,0.0197,MARCS,144.39589871042,28.24536420934,0.324778,0.326592,-0.5737,695958184271386624
J084527.89+353701.8,693202032,717419143713536384,08 45 27.90,+35 37 01.8,39,24,5766,4.33,-0.29,2.3,0.3,0.1,2,0,10,Simbad,0.033154,165885558,3844.01,,3,5,5,3,1,4,4,66.3,127.1,126.04,2,0,0,PC,APC,12.9959,0.007,,1,qlp-s47-tois,FAINT,08:45:27.9,35:37:01.8,-24.597,0.047,-23.164,0.034,2459606.766668,0.000549,0.896271,1.3e-06,0.996,0.078,13.646245,0.00964,12490.0,8.87913,13.8677,0.905114,818.614,1490.0,57.0,655.503,13.262,5726.0,136.7,4.27,0.08,1.22,0.07,-0.403452,0.0391912,1.02,0.126348,"21,47",2021-06-23,2024-08-22,2024-08-22 00:00:00,found in faint-star QLP search; TFOP APC previously retired as BEB; ~6 sigma offset in spoc-s47,131.36624999999998,35.61716666666667,Gaia DR3 717419143713536384,131.36623929754,35.61716364671,0.0,0.0,116,1636148068921376768,717419143713536384,1282151069,0.0414,0.0336,1.4173,0.0563,25.155,34.312,-25.094,0.062,-23.401,0.071,-0.2772,-0.1868,0.1411,-0.0341,-0.1359,-0.2539,0.4436,0.4052,-0.3739,-0.6372,340,0,323,17,38.8057,2663.2,0.388,120.81,31,0,1.553,,,,,,,,38,17,0.12078,57,0.03133,152.5,1,0,2.882,0,441,80160.88795,12.9165,6206.09,13.427461,0.002761,54,42824.3,29.1086,1471.19,13.759317,0.002886,54,53719.9,25.9462,2070.43,12.922558,0.003816,1.204,0.0,1.0,0.0,0.0,0,0.83676,0.331857,0.504903,40.08,2.48,2.0,23.0,5.0,15.0,12.677,,,784.304,,5500.0,4.0,-1.0,111.0,,,,12.733122,0.050392,18.0,,NOT_AVAILABLE,0.0,0.0,0.999974,5677.5,5605.9,5748.8,3.8836,3.8296,3.9383,-0.7362,-0.7978,-0.6586,884.6182,844.6721,928.5049,0.1102,0.0648,0.1528,0.0925,0.0543,0.1285,0.0502,0.0294,0.0697,MARCS,131.36637649199,35.61726765166,0.991218,1.125227,-0.64,717419143713536384
