,toi,name,comment,harps_url
66,TOI2634,TYC50-821-1,V-shaped. Single transit. CTOI from Nora Eisner.,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC50-821-1_RVs/TYC50-821-1_HARPS_RVBank_ver02_rvsonly.dat&run
67,TOI2589,TYC7102-426-1,TOI-2589 b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC7102-426-1_RVs/TYC7102-426-1_HARPS_RVBank_ver02_rvsonly.dat&run
68,TOI2556,TYC797-248-1,strong TTVs,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC797-248-1_RVs/TYC797-248-1_HARPS_RVBank_ver02_rvsonly.dat&run
69,TOI2548,TYC211-706-1,WASP-84 b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC211-706-1_RVs/TYC211-706-1_HARPS_RVBank_ver02_rvsonly.dat&run
70,TOI2540,HD274255,CTOI from George Zhou; inner candidate in potential multi; likely multi,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD274255_RVs/HD274255_HARPS_RVBank_ver02_rvsonly.dat&run
71,TOI2534,TYC8829-3-1,single transit; CTOI from Rafael Brahm,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC8829-3-1_RVs/TYC8829-3-1_HARPS_RVBank_ver02_rvsonly.dat&run
72,TOI2526,TYC9063-510-1,CTOI from Rafael Brahm,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC9063-510-1_RVs/TYC9063-510-1_HARPS_RVBank_ver02_rvsonly.dat&run
73,TOI2488,TYC8448-76-1,,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC8448-76-1_RVs/TYC8448-76-1_HARPS_RVBank_ver02_rvsonly.dat&run
74,TOI2473,HD287319,missed the 6-day HJ. WINE CTOI. Multi.,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD287319_RVs/HD287319_HARPS_RVBank_ver02_rvsonly.dat&run
75,TOI2449,CD-341735,single transit,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/CD-341735_RVs/CD-341735_HARPS_RVBank_ver02_rvsonly.dat&run
76,TOI2447,CD-321952,Single transit. Orbital period is likely > 30 days.,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/CD-321952_RVs/CD-321952_HARPS_RVBank_ver02_rvsonly.dat&run
77,TOI2427,TOI-2427,L1 candidate,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TOI-2427_RVs/TOI-2427_HARPS_RVBank_ver02_rvsonly.dat&run
78,TOI2426,BD-21521,artifact TIC 97486175 close by,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/BD-21521_RVs/BD-21521_HARPS_RVBank_ver02_rvsonly.dat&run
79,TOI2425,TYC4682-800-1,CTOI from Jana Steuer,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC4682-800-1_RVs/TYC4682-800-1_HARPS_RVBank_ver02_rvsonly.dat&run
80,TOI2403,BD+01316,WASP-76 b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/BD+01316_RVs/BD+01316_HARPS_RVBank_ver02_rvsonly.dat&run
81,TOI2386,TYC5839-876-1,WASP-26 b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC5839-876-1_RVs/TYC5839-876-1_HARPS_RVBank_ver02_rvsonly.dat&run
