,toi,name,comment,harps_url
107,TOI1097,HD109833,bright potential L1 candidate; TCE at TBJD ~2358 delayed by a few hours,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD109833_RVs/HD109833_HARPS_RVBank_ver02_rvsonly.dat&run
108,TOI1062,TOI-1062,TOI-1062 b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TOI-1062_RVs/TOI-1062_HARPS_RVBank_ver02_rvsonly.dat&run
109,TOI1060,HD188394,Potential L1 candidate,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD188394_RVs/HD188394_HARPS_RVBank_ver02_rvsonly.dat&run
110,TOI1055,HD183579,HD 183579 b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD183579_RVs/HD183579_HARPS_RVBank_ver02_rvsonly.dat&run
111,TOI1054,HD190622,HD 190622 b / TOI-1054 b (Cabrera+2023),https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD190622_RVs/HD190622_HARPS_RVBank_ver02_rvsonly.dat&run
112,TOI1052,HD212729,Low priority; similar epoch and period from sector 1,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD212729_RVs/HD212729_HARPS_RVBank_ver02_rvsonly.dat&run
113,TOI1050,WASP-17,WASP-17 b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-17_RVs/WASP-17_HARPS_RVBank_ver02_rvsonly.dat&run
114,TOI1036,CD-415929,multiple stars in pixel,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/CD-415929_RVs/CD-415929_HARPS_RVBank_ver02_rvsonly.dat&run
115,TOI1011,HD61051,,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD61051_RVs/HD61051_HARPS_RVBank_ver02_rvsonly.dat&run
116,TOI0969,TYC183-755-1,,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC183-755-1_RVs/TYC183-755-1_HARPS_RVBank_ver02_rvsonly.dat&run
117,TOI0966,TYC4851-299-1,WASP-180 A b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC4851-299-1_RVs/TYC4851-299-1_HARPS_RVBank_ver02_rvsonly.dat&run
118,TOI0954,CD-251737,TOI-954 b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/CD-251737_RVs/CD-251737_HARPS_RVBank_ver02_rvsonly.dat&run
119,TOI0941,TYC111-1915-1,Check star 17,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC111-1915-1_RVs/TYC111-1915-1_HARPS_RVBank_ver02_rvsonly.dat&run
120,TOI0938,TYC5315-221-1,Co-moving M dwarf 7.7,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC5315-221-1_RVs/TYC5315-221-1_HARPS_RVBank_ver02_rvsonly.dat&run
121,TOI0908,TOI-908,TOI-908 b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TOI-908_RVs/TOI-908_HARPS_RVBank_ver02_rvsonly.dat&run
122,TOI0907,TYC9057-870-1,Large planet candidate; low priority,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC9057-870-1_RVs/TYC9057-870-1_HARPS_RVBank_ver02_rvsonly.dat&run
123,TOI0905,TOI-905,TOI-905 b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TOI-905_RVs/TOI-905_HARPS_RVBank_ver02_rvsonly.dat&run
124,TOI0903,TYC9159-80-1,TOI 903.01. TFOP investigation in progress.,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC9159-80-1_RVs/TYC9159-80-1_HARPS_RVBank_ver02_rvsonly.dat&run
125,TOI0883,TYC4813-492-1,,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC4813-492-1_RVs/TYC4813-492-1_HARPS_RVBank_ver02_rvsonly.dat&run
126,TOI0880,HD43629,Need SG1 to Check 34077287 (R = 2.5 Rsun); Period might be twice,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD43629_RVs/HD43629_HARPS_RVBank_ver02_rvsonly.dat&run
127,TOI0878,TYC8084-545-1,TFOP FP,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC8084-545-1_RVs/TYC8084-545-1_HARPS_RVBank_ver02_rvsonly.dat&run
128,TOI0855,BD-02146,,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/BD-02146_RVs/BD-02146_HARPS_RVBank_ver02_rvsonly.dat&run
129,TOI0853,TYC7550-294-1,candidate for warm Jupiter,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC7550-294-1_RVs/TYC7550-294-1_HARPS_RVBank_ver02_rvsonly.dat&run
130,TOI0851,TOI-851,short period; nearby companion with dmag 5.6,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TOI-851_RVs/TOI-851_HARPS_RVBank_ver02_rvsonly.dat&run
131,TOI0849,TOI-849,flat-bottomed,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TOI-849_RVs/TOI-849_HARPS_RVBank_ver02_rvsonly.dat&run
132,TOI0836,HIP73427,TOI 836.01; multi,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HIP73427_RVs/HIP73427_HARPS_RVBank_ver02_rvsonly.dat&run
133,TOI0829,TYC7310-1928-1,,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC7310-1928-1_RVs/TYC7310-1928-1_HARPS_RVBank_ver02_rvsonly.dat&run
134,TOI0828,HD122173,WASP-131 b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD122173_RVs/HD122173_HARPS_RVBank_ver02_rvsonly.dat&run
135,TOI0826,WASP-130,WASP-130 b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-130_RVs/WASP-130_HARPS_RVBank_ver02_rvsonly.dat&run
136,TOI0823,TOI-823,,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TOI-823_RVs/TOI-823_HARPS_RVBank_ver02_rvsonly.dat&run
137,TOI0822,WASP-132,WASP-132b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-132_RVs/WASP-132_HARPS_RVBank_ver02_rvsonly.dat&run
138,TOI0820,CD-3110766,WASP-15b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/CD-3110766_RVs/CD-3110766_HARPS_RVBank_ver02_rvsonly.dat&run
139,TOI0819,HATS-17,HATS-17 b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HATS-17_RVs/HATS-17_HARPS_RVBank_ver02_rvsonly.dat&run
140,TOI0818,WASP-16,WASP-16b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-16_RVs/WASP-16_HARPS_RVBank_ver02_rvsonly.dat&run
141,TOI0813,CD-61970,TOI-813 b; CTOI from Planet Hunters TESS,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/CD-61970_RVs/CD-61970_HARPS_RVBank_ver02_rvsonly.dat&run
142,TOI0780,WASP-41,WASP-41 b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-41_RVs/WASP-41_HARPS_RVBank_ver02_rvsonly.dat&run
143,TOI0776,TOI-776,TOI-776 c / TOI 776.01,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TOI-776_RVs/TOI-776_HARPS_RVBank_ver02_rvsonly.dat&run
144,TOI0774,WASP-55,WASP-55 b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-55_RVs/WASP-55_HARPS_RVBank_ver02_rvsonly.dat&run
145,TOI0772,TYC6110-1007-1,possible multi,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC6110-1007-1_RVs/TYC6110-1007-1_HARPS_RVBank_ver02_rvsonly.dat&run
146,TOI0769,WASP-42,WASP-42 b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-42_RVs/WASP-42_HARPS_RVBank_ver02_rvsonly.dat&run
147,TOI0767,WASP-25,WASP-25 b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-25_RVs/WASP-25_HARPS_RVBank_ver02_rvsonly.dat&run
148,TOI0763,CD-397945,TOI-763 b / TOI-763.01,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/CD-397945_RVs/CD-397945_HARPS_RVBank_ver02_rvsonly.dat&run
149,TOI0759,TYC7730-223-1,TFOP APC/SB1,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC7730-223-1_RVs/TYC7730-223-1_HARPS_RVBank_ver02_rvsonly.dat&run
150,TOI0757,CD-348236,L1 candidate; some variability in LC,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/CD-348236_RVs/CD-348236_HARPS_RVBank_ver02_rvsonly.dat&run
151,TOI0755,HD110113,HD 110113 b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/HD110113_RVs/HD110113_HARPS_RVBank_ver02_rvsonly.dat&run
152,TOI0752,WASP-129,WASP-129 b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-129_RVs/WASP-129_HARPS_RVBank_ver02_rvsonly.dat&run
153,TOI0748,CD-348618,WASP-167 b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/CD-348618_RVs/CD-348618_HARPS_RVBank_ver02_rvsonly.dat&run
154,TOI0747,TYC8633-394-1,WASP-87 b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC8633-394-1_RVs/TYC8633-394-1_HARPS_RVBank_ver02_rvsonly.dat&run
155,TOI0745,TYC8602-1360-1,check neighbors,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/TYC8602-1360-1_RVs/TYC8602-1360-1_HARPS_RVBank_ver02_rvsonly.dat&run
156,TOI0744,WASP-34,WASP-34 b,https://www2.mpia-hd.mpg.de/homes/trifonov/GLS/gls.html?fend=1&url=../Ver_02/WASP-34_RVs/WASP-34_HARPS_RVBank_ver02_rvsonly.dat&run
